UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Enfield,312466,119916,122042,122421,242465,224024,137622,240067,297692,150654,161812,310066,2400,65329,46683,70185,70506,33551,5282,32700.30898822,32008.5,133349,57291,17183,11648,2594,5599,2588,12464,53687,16063,167417,72332,48522,24195,202868,4382,7956,23475,73785,17128,77277,100282,18274,2188,5620,7660,16028,12738,33359,20223,38576,14129,310,27448,2505,8546,28797,38116,46897,65,70549,21073,26591,1703,6821,47979,77473.52962957,146351,109394,39699,12840,4182,27624,55736,69262,25557,69627,38933,51872,29111,5954,56888,62862,11918,29134,77326,25141,13192,8541,22062,17187,13464,9242,8735,3031,5262,22328,47520,31093,25751,13480,29463,22627,25388,128,65,5338,380,636,10559,22131,7388,8310,6392,7225,3302,10207,7651,7592,15343,16931,8044,E09000010,20418.65,46,25.781,57,0.0546,80,0.2942,48,29748.46,79
Essex,1393587,581589,603842,604323,1133721,1011611,675531,1115908,1344536,680161,713426,1375440,18147,250578,157054,275860,377071,220249,35184,189715.45694213,195483.5,1276042,37814,20885,12456,3462,2747,6361,9834,18709,5277,860906,40538,392047,100096,1292812,9278,15500,14955,61042,5987,245431,559193,124679,7091,10775,21486,72900,74353,165217,165138,158183,36749,1125,91926,22734,183880,186930,128720,99676,5117,418123,83402,73697,6367,6625,238867,434635.49614661,656820,486952,182561,52080,15174,146211,270901,420209,131408,260645,104522,244783,232284,36346,113420,445562,80203,145817,395312,112476,38074,27751,155639,40372,47562,31887,16721,4667,15536,113865,243606,178240,123368,80968,162946,116596,47501,4580,368,52973,2274,5212,67575,107292,36705,27660,22711,51117,10188,43647,31496,38283,64204,77204,32042,E10000012,13696.88,114,17.016,111,0.0344,93,0.0926,107,28660.47,103
Gateshead,200214,89154,92589,92602,164716,148079,91877,162253,192889,97974,102240,197726,2488,34919,26163,40466,53111,31020,4225,28810.28603461,29214,188947,3795,1558,916,617,242,1054,909,1081,1095,134075,6905,47758,11476,190351,408,1448,1818,6189,1161,41422,70852,20045,1779,1581,3595,11270,11709,29313,22922,22345,6981,88,14486,3448,9759,38617,24928,19232,66,52278,24941,11125,810,1018,44352,87452.10732934,85320,67807,31158,12152,3777,22220,46192,57756,18611,35409,32551,37214,19389,2868,19660,59023,10326,21023,58988,8806,7419,3948,23531,6832,5670,8844,3018,1235,2916,12119,29952,22947,9937,14044,28844,26040,10284,153,160,9547,773,555,7204,15415,4735,4993,2926,2759,1305,4319,4355,7352,8338,12984,4004,E08000037,20831.18,43,28.217,36,0.1667,39,0.3397,38,31722.27,39
Gloucestershire,596984,254615,268944,269567,490233,437088,300040,480389,576984,292586,304398,586018,10966,105048,68952,116039,164050,95186,16169,83689.06876375,86245,550358,19289,8661,5729,942,960,1911,2891,5150,1093,379144,13663,159496,44681,550876,3129,8095,9344,25540,3419,103913,238648,57392,4298,4952,8674,31296,31216,75945,77072,63707,13130,866,37025,14952,82550,91114,52961,40731,2211,178902,32853,39175,3685,2556,99746,184997.59250414,283942,210173,76317,20772,5780,62644,96028,164668,61872,146638,43480,106491,104644,20995,16910,213315,48820,65427,174614,48859,14232,13501,64968,19114,16240,13326,6807,1647,5505,54066,110550,66369,50679,35200,72237,50541,18609,3956,576,33647,3095,2153,23253,46172,10287,16064,11353,13302,3940,19267,13535,20061,29118,36389,13872,E10000013,11987.84,126,14.932,124,0.0322,96,0.0772,114,28222.82,108
Greenwich,254557,101045,103186,103827,199163,186722,117821,194610,241675,126224,128333,249991,4566,51990,42100,65585,52441,22367,3749,28347.29153563,27831.5,137421,21581,12274,7836,2594,1645,5061,12758,48655,4732,134632,35654,65034,19237,175645,3260,6891,8938,59823,7035,65887,70276,21391,2574,5914,5993,13125,9450,32370,17268,28602,10459,693,22112,2782,4380,19255,32040,48105,47,45299,34662,20004,1080,5773,38434,69374.27478911,127641,83875,29386,10420,3235,22014,41082,53851,21250,66120,42455,43058,15532,4673,65403,36196,11549,20697,71844,18305,11518,9709,15695,13957,9577,8621,6799,2518,4507,20980,40565,24445,16756,11521,25448,18572,18023,110,104,3518,371,575,8771,14359,5839,7942,5924,9028,2151,9599,8116,7712,12018,14104,7580,E09000011,20383.77,47,24.464,66,0.0066,123,0.2017,72,28579.85,104
Hackney,246270,101690,102408,104356,195145,187423,118556,193328,234331,122029,124241,244433,1837,46437,55523,68805,42750,15448,1947,24507.67723441,23114.5,94246,40371,15869,7599,1905,6180,3436,6747,56858,13059,95131,58039,69454,23646,150030,3977,13446,8801,70016,14075,89336,46238,22733,3901,5305,7038,12355,6422,35635,14141,24899,10770,669,26346,2666,1927,4428,15931,81989,81,26553,44430,29449,1258,7994,35684,64260.76534807,128442,75699,26837,11183,4109,17948,38172,38974,18106,81591,65721,31157,4812,6485,64246,15601,32224,21394,68680,23293,13207,7309,10441,16455,9262,9788,7594,2899,5385,21539,47141,18721,16339,9037,19515,16723,23581,53,68,3014,151,288,4458,13654,3828,7983,11247,5790,2459,17752,6893,4768,13475,12444,10231,E09000012,25312.57,7,32.526,18,0.1111,56,0.4319,22,30187.74,73
Halton,125746,53312,54686,54694,100819,92708,57577,99953,120704,61368,64378,124874,872,24013,16165,25004,34700,16502,1979,15986.97694324,16245,121864,1177,1356,282,44,60,308,249,260,146,94314,1079,23543,6810,122361,586,558,646,1595,276,26260,44150,12055,700,781,2036,7301,6670,15833,12695,15484,5377,8,9292,1382,10703,18078,19911,5887,115,34118,13441,5212,541,523,26865,49355.23958326,58684,39693,17504,7732,2133,15018,27126,39516,12618,17792,14380,22923,16009,1541,5337,43732,6967,13102,37219,5420,5151,2519,13332,3858,3900,6451,1756,799,1993,6443,17021,14072,6435,9924,18304,15769,6604,88,94,7218,469,918,4255,10757,3985,2670,2237,1359,672,2589,3065,3723,4413,6881,2184,E06000006,21746.16,31,32.325,19,0.3165,12,0.4678,20,32282.99,20
Hammersmith and Fulham,182493,80590,82390,84214,152863,145552,99618,151028,174921,88914,93579,180652,1841,27437,43300,52859,33925,14402,2011,21944.65713433,20693,88310,35912,10044,3451,1612,1056,3140,7376,21505,10087,98808,24859,43487,15339,104454,4874,16104,6023,51038,4555,68170,40917,17046,2606,3820,3698,9517,5254,30148,13507,16086,5791,1166,19683,3624,1205,4135,17323,61502,49,28654,25133,25555,1248,4337,22958,47012.46355457,103036,53374,17188,6531,2364,12334,19515,25231,16306,75765,44524,29496,6570,6098,57678,14885,20957,11073,66703,17864,7060,5054,9135,11919,6645,5670,4429,1288,2708,27454,41970,14993,12183,6465,12242,10181,10980,80,252,2338,244,191,3991,10590,3207,6813,9586,9840,2901,16072,5403,3025,8188,9346,7551,E09000013,18643.47,68,22.27,78,0.0088,116,0.1644,82,28576.65,105
Hampshire,1317788,545254,563563,563885,1071383,954975,665466,1051582,1271724,644938,672850,1296211,21577,236198,142486,259061,363407,209136,34236,176965.55523453,183735,1216766,35357,18051,10731,1803,2143,5605,15074,8298,3960,822179,33542,367060,95007,1207617,6414,20127,14371,69259,5858,210525,554817,115462,7202,10480,19499,67172,66425,145623,167146,148726,31407,615,83144,18631,193666,149048,126291,90588,4292,394919,75257,68326,6752,6045,207325,367117.27919848,646983,460937,156806,41411,11651,132938,198362,372403,137090,318083,80005,220861,244388,42110,51248,484813,87295,139162,403763,99446,28508,28518,144936,34057,37867,24979,13739,2989,10496,136797,254770,154586,103842,78717,145042,100448,35991,4829,700,59425,4532,4409,53606,102642,29845,31859,38120,27573,9027,45412,33713,51843,61622,74772,31537,E10000014,10118.82,136,12.693,135,0.0084,118,0.0493,126,26318.37,122
Haringey,254926,101955,104173,106099,202856,193062,124296,201171,243770,126224,128702,253236,1690,47599,46897,71358,50928,19948,2421,25944.85190315,24870,95421,58922,16548,5945,1920,4417,3744,8124,47830,12055,114659,53252,64202,22813,141228,4820,13165,24907,70806,17582,80180,60585,22419,3853,6165,6686,13878,7405,32524,16286,27254,10744,551,25340,4144,4519,10040,28833,62636,71,41136,27242,32095,1482,7932,35663,60667.04143231,126485,85567,28444,10650,3780,18887,36163,40229,19456,82727,52851,38911,10193,6910,76570,25992,14824,21601,70472,26813,11730,7573,13391,15945,9604,8448,7485,2619,4360,23622,47216,18725,20671,10260,20553,17827,21457,53,65,3084,177,327,7783,14608,4551,10585,10208,5185,2445,14132,7807,5273,14246,13600,10167,E09000014,21887.62,29,27.956,38,0.0966,60,0.321,41,30429.89,67
Harrow,239056,84268,86524,86667,190998,174751,113900,189258,229398,118023,121033,236970,2086,45610,35411,53358,56589,29079,4588,24405.54646526,23944.5,81162,19829,9499,63051,7797,1378,2629,26953,19708,7050,89181,112223,22871,14781,132007,4953,6176,11265,84655,11927,53266,95703,9818,1101,6110,3612,8585,11063,19008,16158,24829,5560,255,24018,2399,10252,33827,16053,26521,14,55822,8923,18324,1199,5233,34854,52841.60527515,113731,86069,28329,8289,2638,24620,31997,48570,19870,70218,19811,37013,27444,6043,47378,51498,8981,21423,65492,22119,7854,6419,18189,13417,9580,5105,5153,1620,2938,25636,40241,27043,21063,8615,20134,12320,16681,35,123,4923,307,395,9356,19927,6279,4967,7212,7137,2033,11262,5807,5322,10882,12431,5502,E09000015,13071.33,118,15.031,123,0,130,0.0268,138,24571.68,137
Hartlepool,92028,40434,42102,42119,74228,66804,37767,73296,88600,44751,47277,91091,937,17629,11577,16869,25163,13742,1856,12584.77544154,12775.5,89117,782,550,266,291,214,229,304,170,105,64349,1293,20507,5879,89469,145,400,469,1545,370,18753,32264,8924,427,599,1494,5428,5407,13392,9802,11306,3918,14,5920,1685,6963,13714,15768,5565,109,24394,9515,5971,554,380,21315,40381.53008594,39816,30117,14607,5789,1699,9924,22758,26125,9276,13063,14268,16573,9593,1045,3806,27265,5651,10092,22635,3805,5194,1787,10621,3042,3265,4733,1630,969,2089,3891,12307,8787,4713,6878,13477,12773,6684,139,267,4410,666,539,3764,5657,1575,1938,645,789,588,1511,1603,2552,3641,5829,1654,E06000001,22581.98,21,35.037,9,0.3621,9,0.4973,13,32560.44,8
Havering,237232,97199,99184,99290,192844,171128,112846,191305,229106,114209,123023,235671,1561,43384,29638,46289,62414,36221,6056,30632.06495966,31028,200604,7345,4933,5017,1492,975,1459,2602,11481,1324,155597,12287,53549,15799,212840,2503,1872,3650,16367,1632,49603,90792,18569,986,2232,3811,11399,13913,28215,23410,26698,7224,53,18823,2091,10823,40405,26166,21685,211,72284,13799,10337,779,1692,40944,72254.29638208,109131,84378,31492,9464,2767,25214,50951,72998,21797,37498,22364,42968,31867,4038,41037,59026,8745,23479,67989,17978,7627,4569,24404,7944,8374,5407,3357,1149,3093,15823,37726,36944,20106,13947,27511,19214,9345,97,63,6095,437,842,12972,16473,7536,3777,3924,11209,1686,7428,5326,7086,10462,12080,5353,E09000016,14036,111,16.789,112,0.0067,122,0.0814,113,27349.32,116
"Herefordshire, County of",183477,78319,82549,82676,151962,133442,90237,149286,177688,90302,93175,180595,2882,30758,19112,32849,52562,33692,5324,27813.43372957,28968.5,172631,7538,1270,490,80,32,277,560,331,268,124403,2258,41766,15050,171229,566,1912,5060,4710,1981,30508,76422,16712,1007,1588,2518,9997,10534,22540,24447,19093,4274,44,12195,4357,35021,22585,14165,9965,940,53784,10903,12147,1485,851,34364,64719.70049492,83874,64494,25517,7441,2151,20676,34845,49128,18235,41779,12826,32556,32937,8436,2629,61954,17218,20345,48094,19151,4353,3171,22149,4845,4636,4600,2098,493,1630,14082,32408,17635,22073,10712,24412,16740,6109,4893,124,11373,253,636,7865,15054,2781,4734,1935,1565,1446,4559,3995,4899,8323,11624,4178,E06000019,16384.76,88,18.89,97,0.0086,117,0.0687,118,27379.09,115
Hertfordshire,1116062,453817,467985,468426,892538,806213,565032,878788,1071176,547110,568952,1101351,14711,211951,135044,241763,287033,148838,25077,138171.63399136,140184.5,919266,58229,27497,28848,12302,5608,8462,17361,31401,7088,650129,89205,296046,80682,966379,12557,20025,21076,96025,9966,211101,431456,97461,6173,10361,17166,53432,51638,128815,115827,134332,29044,1467,73376,14609,98931,131113,131578,104830,1974,307216,82543,59320,4738,6992,159848,280583.5044644,568026,378624,125609,34316,9487,108615,162749,293028,105554,286856,76823,191349,185645,34767,99180,366094,64991,109693,341147,93294,28301,26003,96720,40850,36518,20236,13451,3321,10928,120814,214006,130995,88238,55476,106748,76783,34171,1878,405,38695,1642,3422,46747,95584,27452,24073,32782,28869,9541,50288,29115,28970,56766,59091,29712,E10000015,10544.87,135,12.732,134,0.0014,129,0.0238,140,24289.41,139
Hillingdon,273936,100214,103907,103990,217043,199926,130290,210356,261989,135811,138125,267227,6709,55614,42812,61198,62219,30486,4692,29182.66711726,28674,148865,17166,10479,36795,9200,2639,2889,17730,20082,8091,134813,75136,46492,17495,191859,4324,6202,7950,63601,8240,60518,95841,17762,1656,5705,4591,12375,11908,25290,20134,30753,8542,870,23167,3776,15051,37387,23430,27951,171,64291,16752,18141,1030,5315,39179,63945.74033999,133627,96647,31492,9404,2766,25905,41548,67505,27094,60854,22716,43942,33556,5121,39301,74076,11792,23706,80835,18647,8693,9661,20310,16788,10311,5886,5089,1653,3499,21174,42872,32369,18890,14978,26029,19731,15136,109,150,6978,445,720,10567,20635,14171,7540,7311,4864,1708,8266,7739,7256,12350,13392,6089,E09000017,15515.03,94,18.223,103,0,130,0.0692,117,26225.86,124
Hounslow,253957,94902,96892,97274,202424,190157,127032,200444,241725,127397,126560,251961,1996,48347,44843,64753,54256,23574,3285,25380.9405737,24385.5,101039,29466,10349,48161,13676,2189,2405,20826,16813,9033,106660,90484,40351,16462,144044,3643,7372,15261,83637,11567,62839,84108,17354,2165,7259,4976,12081,9662,25985,16323,26947,7670,491,25156,2372,4596,28467,22286,41764,161,49807,21682,22206,1207,6963,35003,56194.70202725,124442,89064,28552,9085,2814,22310,35084,50532,19798,69955,29985,42744,22173,5497,51856,55207,14472,20588,79763,20391,8815,8310,15843,12769,11167,6502,6009,1761,3316,21757,41502,26224,18215,13211,25215,19266,16603,70,280,5020,330,491,7396,18866,14758,10612,10537,5403,1928,9360,9027,5457,9356,11219,6922,E09000018,18652.53,67,21.487,82,0.007,121,0.089,110,27292.93,117
Isle of Wight,138265,61085,67506,67676,115589,99747,59299,111118,134503,67424,70841,133713,4552,22570,13498,23176,39525,27884,5070,21079.74390398,22118.5,131846,2699,1709,435,80,131,219,649,303,194,83671,2369,40950,11275,131068,651,1520,1056,3970,365,22607,53541,12829,680,1325,2222,8907,9007,19957,18508,14063,4164,19,8538,6591,23164,19067,10573,14423,449,43179,6523,10639,744,584,31246,56245.20395446,56420,50514,22378,6921,2032,16420,28078,42059,14128,26163,13761,28314,19010,3923,3662,38077,13637,15728,30353,11553,4386,2198,20478,3661,3933,4504,2953,417,1764,8741,23433,14464,15057,9408,19755,13515,5518,735,70,5335,227,351,5034,9379,2380,5393,1090,888,927,2568,2266,4047,5831,9277,3501,E06000046,19454.34,57,23.294,71,0.0337,94,0.1654,81,29227.47,91
Islington,206125,93556,96872,98196,173300,165149,106765,167327,198429,101405,104720,200134,5991,32207,50197,57433,38669,15905,2131,24310.45444007,22666,106462,34053,13339,3534,951,4662,4457,5430,26294,6943,82879,27197,61911,34138,133095,5679,13587,5795,47969,6628,76767,38800,22573,4073,3492,4762,10697,6163,36240,16727,18387,8609,1290,20912,4640,1093,2845,13402,80789,67,27771,39342,25217,1226,4339,32271,65715.86773681,106386,63382,23113,9771,3473,16311,29448,30238,16904,83276,60485,28507,4564,5916,61216,11756,27877,13596,69852,18877,8960,6203,10204,16458,6611,8707,5681,1824,3590,30271,43505,15713,11976,7159,15022,12598,15269,45,119,2175,206,259,3768,10146,3163,5996,10793,9644,1893,20470,4744,4499,10356,10319,8170,E09000019,22490.24,24,27.535,41,0.0488,87,0.2705,58,29301.65,87
Kensington and Chelsea,158649,78536,84798,87705,134267,126080,81387,131569,153015,78194,80455,155939,2710,22106,27924,45177,36713,16648,2467,24060.11809687,23140.5,65986,46031,8986,2577,911,836,3968,7569,10333,11452,86005,24006,32669,15969,76738,2757,23029,3595,52530,3730,51419,42181,12521,2673,5060,3141,9579,4995,36524,14355,13206,3816,826,13625,9169,1169,2809,10868,72763,96,28707,19271,28108,2450,3119,19569,45532.53508536,91764,45189,14464,5357,1875,10978,13549,19265,13460,70731,43982,26866,7688,8809,44121,12901,15556,8583,51211,19404,5433,2886,10119,11031,7740,4503,5170,909,2298,28234,39102,10553,12750,4063,9377,6737,10203,123,291,1878,196,122,2393,7804,2037,4097,6076,17494,2762,13599,3469,1865,4894,5476,6811,E09000020,17177.54,80,21.526,81,0.0874,65,0.1985,73,30007.35,76
Kent,1463740,605638,633329,634800,1180186,1055397,688434,1154344,1410434,715613,748127,1435745,27995,276458,170976,282886,386967,225465,36841,189901.09223167,194862,1313797,57305,22107,18136,2406,3381,5978,17713,16216,6701,915200,50144,391591,106805,1329988,8419,20778,25872,78683,12096,259064,558238,138424,8744,12576,24994,76549,75755,174331,168981,165653,41068,2483,94190,29162,159426,193930,157343,118436,5665,413346,84127,100182,7983,9242,257038,450094.41989355,683205,510399,194931,58536,16669,151777,265326,417784,145519,291211,121094,258442,226102,41072,93804,460482,93076,149177,399625,114681,41541,32884,159127,50767,49761,37471,20363,5851,16120,112717,253710,166213,125925,86791,170514,126902,55523,7151,610,46349,3966,5357,66876,111960,37834,33912,21272,34447,9455,44006,34981,42383,70363,84796,32716,E10000016,15481.83,95,19.538,93,0.0565,79,0.1401,93,30159.63,74
"Kingston upon Hull, City of",256406,112596,116495,116651,208040,190610,110903,204411,245742,128420,127986,252748,3658,48718,44314,52108,61561,31089,4642,32624.79232722,32052,230470,10851,3454,1086,882,755,2124,1624,2996,2164,140753,7912,89336,18405,234585,415,2373,8216,10817,4465,62626,74762,29822,1899,2211,4968,15612,12511,39788,24584,29447,10292,1366,17411,4055,8215,31375,57334,19648,79,56290,31634,22984,1688,1837,50391,96714.66483973,110555,89572,38102,14047,4130,23636,65851,70832,27284,31687,45748,47612,19236,2118,16439,69085,23261,28041,68035,9814,15296,6944,23025,13243,9482,11524,5206,2624,7003,8685,28522,21917,12130,18633,39092,39551,19645,426,231,16851,879,707,9306,20353,5900,6959,2007,1148,1019,3540,6394,6328,9240,14899,4716,E06000010,25222.75,9,40.564,4,0.4518,4,0.5505,8,32621.01,6
Kingston upon Thames,160060,63639,65198,65693,129790,119673,81957,126138,153286,78103,81957,156358,3702,29369,25863,38920,36584,17016,3342,18629.64053301,18297.5,103733,15486,6269,6325,3009,892,2883,13043,4021,4399,84684,21560,41183,12633,114820,1981,6143,4878,32238,3666,37508,56910,13104,1224,2207,2226,6810,6149,18198,14320,17760,3550,1267,12094,2054,8317,20617,11764,24930,65,41196,7502,14312,629,1687,19902,35451.41195579,84332,53598,16425,4438,1267,13288,17400,31025,17482,53782,15997,30084,17558,5156,30514,34164,12123,13588,49530,14008,3850,6372,11281,10305,5616,2664,2459,526,1459,20141,32901,17102,12014,5685,12097,7126,6342,63,195,3026,301,264,4844,11922,3319,3966,6464,5076,1308,8805,4355,4608,9114,9004,5323,E09000021,9412.29,140,11.381,143,0,130,0.0122,142,20278.67,145
Kirklees,422458,173525,181107,181545,336309,307194,192397,330768,405352,208657,213801,416840,5618,82055,56301,86893,107032,56127,8023,51300.77042873,51686,326525,7745,9790,20797,41802,731,1452,3000,7905,2711,225751,68488,100829,27390,376821,2137,2613,4599,36288,10775,79032,156363,38066,2944,5003,7326,21670,20364,52553,45002,48451,12593,702,26817,8020,36923,59537,61338,23563,184,116973,26525,26941,3086,4077,74963,130987.71784477,192366,147731,58042,19030,5289,43665,85554,111141,42257,80275,45875,74194,53456,8564,22437,139524,21872,44638,112199,27494,14465,10718,44027,17593,15227,13504,7329,2672,5850,28807,62636,40236,30830,25034,47745,48038,25292,676,187,28916,734,1593,14814,33594,9426,9242,4653,7205,2160,9828,7934,9884,20326,23558,7667,E08000034,19120.97,61,25.151,64,0.1197,53,0.2938,49,30961.42,59
Knowsley,145893,61323,62967,62973,117225,106155,61691,116324,140431,69329,76564,144990,903,28444,19075,27369,39679,20650,2364,19484.49844101,19825,140882,976,1913,467,81,10,446,399,505,214,117991,1128,18439,8335,142487,512,498,417,1979,232,37562,45616,11833,663,1000,3041,7825,8784,19041,11771,17722,7327,1,12788,1650,8094,25869,22148,6675,187,38210,16333,5980,800,765,35751,67995.99066289,67153,43505,21420,10631,3184,17865,40647,40718,13788,18120,22739,25044,13540,1325,11825,41387,7154,15173,38065,6218,6926,3235,14415,5127,4822,9333,2841,1342,2841,5620,17776,16444,7752,9425,22231,18835,10944,93,57,5977,256,576,5490,10059,4079,2922,1334,2237,918,2203,3202,4134,5136,10085,2933,E08000011,26199.75,3,43.006,2,0.4694,3,0.5992,3,32740.28,2
Lambeth,303086,130017,132213,134231,248300,237730,166494,245327,290080,150921,152165,300101,2985,49513,69837,87291,56882,20342,2845,32777.49823343,31108,125706,47319,23160,4983,3072,2221,4573,6089,78542,7421,160944,30838,84803,26501,185337,5808,21775,11837,78329,10768,114034,57396,30120,6426,6638,7824,14969,7920,44691,20155,29543,13559,859,34769,4214,3260,10946,21850,98135,40,44872,45619,38133,1393,7211,38671,73445.49734888,160326,97286,31188,10729,3557,20477,35352,48217,23988,115758,75214,45077,9726,7498,107759,24077,27160,22530,110465,26828,14255,9112,13265,16062,8411,9068,7734,2725,5824,36766,65764,25866,19281,12402,23500,20846,19629,66,214,3213,348,343,7299,16900,5660,12610,14489,11770,3326,23314,12403,9214,14825,17746,12754,E09000022,21351.38,34,25.422,62,0,130,0.1949,74,28390.91,106
Lancashire,1171339,496299,522052,522705,956956,859130,546208,929628,1130129,575146,596193,1143277,28062,213356,147413,221875,313937,183744,27449,160558.06628242,164570.5,1057465,23222,12724,19212,36103,5811,4811,5117,4098,2776,805510,70091,224446,71292,1095402,5734,9179,13552,47472,12202,217912,442369,104772,6342,10190,19259,64650,64134,154167,135011,129087,35305,2159,75875,26406,114689,173322,164859,65486,4349,354729,60258,75042,6270,5343,235012,437281.77141505,538205,394234,165605,57185,16110,133213,225485,319032,130605,239208,113467,215777,167055,26157,42760,402210,75081,121611,322746,77157,32261,31415,138771,46051,30492,41318,17308,4502,12503,84198,191397,125862,94015,73832,143024,119505,48878,6320,579,67026,3286,4234,41768,89965,23272,29993,13623,14360,6720,25558,22891,38782,57620,76524,23687,E10000017,17208.01,78,23.443,70,0.1508,47,0.2447,63,31700.38,42
Leeds,751485,320596,331819,332674,613992,560849,355225,594091,721871,367935,383550,731373,20112,140846,131734,155762,172964,95016,14582,97413.11665763,96841,616745,22742,19632,16130,22492,4432,5933,9256,25893,8230,419790,68749,212229,50717,665341,4762,8276,12026,61080,11358,177398,245553,71671,5038,7398,12973,37840,36220,106739,78334,81145,24499,4923,49455,12078,48361,122757,88726,72449,381,187909,70377,57456,4854,5495,125678,243361.9850027,361295,254023,95515,31504,9148,71598,142481,186801,90497,165429,102787,133414,84395,14666,65945,224569,50045,73507,217528,42298,26786,29810,69446,46047,20435,22498,12494,4798,10856,61715,116766,80761,45412,40979,84722,71035,37933,740,246,29611,2867,2286,25313,56612,15389,21623,12815,20741,4605,24366,18683,17527,37153,47811,16837,E08000035,18909.26,65,27.301,43,0.2365,27,0.3284,39,32257.45,21
Leicester,329839,123125,126703,127383,260560,242232,137494,252346,315011,162884,166955,321527,8312,68949,64977,68167,69750,31824,5392,34146.6057899,32584.5,151153,15483,11580,93335,8067,3642,4245,13181,20585,8568,106872,129342,75280,18345,218996,1933,5909,10018,92983,23523,83494,101754,23144,1999,7200,5791,14618,14346,36951,21599,34472,10408,2914,27189,4258,13390,44880,40290,28757,66,61944,31270,27999,1912,5980,57137,95190.64200952,148108,117551,44278,14972,4930,30965,74409,71841,33888,55223,45375,51864,25886,3996,21282,82936,29280,33341,80780,14021,14982,13301,22435,27604,15035,12397,8336,3165,6109,15591,33326,26777,15942,16107,40394,44008,28344,162,101,20584,2024,676,7082,26042,7502,8258,3064,4000,1369,5043,7479,6289,13919,18488,5412,E06000016,22857.96,19,30.877,26,0.2031,34,0.3713,30,31842.02,34
Leicestershire,650489,267434,277028,277178,533108,479462,324575,519117,629139,321416,329073,636274,14215,117553,75975,126581,179897,100227,15210,86363.12978208999,89339.5,581960,12807,8551,28598,2099,2313,3502,4265,3787,2607,392363,40037,176123,41966,603460,2712,5792,6022,32503,4426,109554,268712,59619,3544,4869,9730,29775,33314,72496,81230,72026,15003,1383,40299,9744,101257,106482,44250,24011,1178,204559,28017,31932,2926,2126,105423,189741.9444484,308763,230844,82862,21967,6053,70728,117739,179466,73353,139352,40821,110471,116142,18264,17662,248515,40134,70396,195058,47062,14534,15089,73264,29200,15363,12666,6830,1787,5456,56847,111321,71919,51627,41346,72365,66252,17824,3192,1060,42228,3825,2165,26784,58122,15964,14669,8401,9440,3482,18604,13345,16783,36757,35253,14501,E10000018,10048.95,137,12.33,136,0.0101,114,0.0247,139,24442.44,138
