UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Darlington,105564,46670,48644,48761,85357,76635,49014,83954,101547,51483,54081,104111,1453,19211,12678,20917,28245,15889,2550,14612.79038212,14926,99226,2369,1146,726,145,523,349,462,357,261,71122,2311,25415,6716,100025,263,1092,1392,2792,626,19424,38867,10224,523,730,1942,6564,5680,15101,12490,12640,4044,11,6428,2091,8407,18283,15198,6838,35,30467,7228,8513,462,398,20723,39004.04499004,47046,37199,15116,4763,1440,11048,21179,29363,10883,20244,13052,20682,12936,2019,4767,34124,8104,11555,30337,5595,4002,1954,12214,2742,3081,3737,1418,629,1613,6993,16990,12350,6424,6699,14235,11702,5380,303,117,4900,185,295,3743,8107,2525,2698,2165,1880,500,2225,2086,3808,4211,7259,2007,E06000005,18284.63,73,25.657,59,0.1846,37,0.2891,52,32173.97,24
Derby,248752,102271,106509,106687,198076,179291,112422,193977,238011,123046,125706,244625,4127,49328,38280,51298,57194,32424,5245,29971.22877615,29872,189705,10046,7232,10907,14620,658,1292,3618,7320,3354,131129,32012,68668,16943,214131,1786,2349,7044,23442,6893,52303,84653,22967,1582,3012,4307,12744,12409,31578,24516,28453,8337,859,16865,4416,24580,41182,24904,15762,259,63629,20250,17193,1199,2082,46456,81859.61169086,111837,87060,35193,11413,3249,25584,47731,64768,25838,47955,29593,44344,28334,3696,12417,77153,19156,26310,68979,11657,9297,7448,22925,11237,8595,8574,4269,1760,3668,16835,35443,24364,13101,16916,31604,26873,14630,191,104,17788,725,1042,7190,18075,6550,6715,3018,2568,1335,5287,5205,4832,10795,16376,4626,E06000015,18953.77,64,26.323,53,0.1589,42,0.3427,36,31540.94,46
Derbyshire,769686,332637,346999,347164,632900,567798,372011,624604,744938,378786,390900,760840,8846,133667,81965,151061,219653,124264,18627,107920.01621372,111669.5,740188,9906,7119,4132,979,229,1727,1728,2770,908,489668,10701,215158,54159,744044,2466,4902,4589,13685,2192,127895,312054,79682,4518,4864,11764,41012,42815,96233,101458,86899,20557,109,47938,14527,110475,134321,71498,29963,907,237512,50955,39915,4255,2524,157033,290130.34832554,341665,265645,114858,37177,10341,92761,162378,219382,76769,149949,66832,141123,124682,19980,26327,282095,43609,86622,221973,52772,22206,13480,95875,20422,20778,24687,8983,3065,8988,57021,124012,78659,60710,55668,100985,94409,28243,3542,1847,55425,2189,3005,31650,61881,19316,18498,9500,7850,4420,18922,14842,18583,36034,47850,16657,E10000007,14795.12,103,18.392,102,0.0448,88,0.1303,97,29283.75,90
Devon,746399,322644,349326,350012,623225,541219,353913,605230,724089,361745,384654,727737,18662,123405,79344,126570,212322,142666,25760,110081.4636605,115050.5,711720,16353,6520,1873,280,570,3195,2792,1413,1683,458778,11844,213045,62732,703841,2668,8328,6979,24583,2451,122126,307933,67660,4247,6113,10288,41925,44938,97945,103500,73838,17067,1471,45890,27368,123207,86646,82205,54672,3282,229086,36042,52581,4935,2841,145179,261718.68143301,344059,259032,104498,30137,8673,84884,131716,211199,80364,173234,56105,142566,123973,33214,20197,234040,66462,84667,181896,74552,15256,15476,98590,25369,18374,18222,8817,1445,5531,58955,134536,78897,88522,44117,92063,63987,22020,12366,722,27736,2491,2920,30160,58172,13784,25263,7959,6953,5321,20812,14685,21869,35986,48991,17723,E10000008,14246.53,110,16.607,114,0.0066,124,0.0467,128,26080.41,127
Doncaster,302402,126487,130819,131007,244909,220877,133815,239750,290756,149230,153172,297200,5202,55564,39656,58258,80711,44769,6372,39570.22618416,40352,278923,9143,3321,1865,2728,117,1121,1783,2337,1064,199320,8705,73656,20721,283733,963,2134,6646,8926,3604,53747,110930,31721,2211,2621,5073,17017,16430,36104,34727,34161,9477,24,21471,4520,30115,58631,30944,10499,818,83178,22403,18774,2132,1750,65535,117809.95813075,131738,102983,45748,16982,4951,33364,74119,90328,26126,41714,35102,54987,36398,4837,13985,97591,17402,33112,80998,16196,12697,4767,34110,8765,10746,12958,6528,2138,4936,13943,40296,28531,19753,22717,44226,44007,18291,712,762,14254,977,1282,13018,26026,9277,6686,2874,3253,1099,4422,6512,7818,11407,17837,5599,E08000017,21613.33,33,30.289,29,0.2371,26,0.3984,26,31914.03,30
Dorset,365153,158738,171812,171917,305307,260796,170602,297603,355064,178397,186756,356068,9085,59261,32596,59450,106259,76389,13569,57214.01485112,60588.5,350612,7114,2895,640,146,481,764,1307,841,353,237680,5266,92930,29277,344700,1536,4867,2693,11357,914,53450,160816,30257,1866,3119,4982,19922,23191,46913,54086,35518,7614,16,22205,13179,69680,38653,34394,26860,2330,114894,19484,21736,2624,1374,72167,132200.75939872,164150,131050,51990,14040,3923,43334,64208,108043,37099,83086,24178,68453,66107,14048,7053,121239,28262,41163,91166,32989,6979,6226,51973,8269,9397,8026,4608,606,2531,31212,70647,41997,39491,23019,43606,30990,10197,4217,393,15848,525,1316,15097,26079,5688,10732,4118,4605,2883,9181,7001,14855,17145,21634,9285,E06000059,13227.24,117,15.735,120,0.0274,101,0.05,124,26473.8,121
Dudley,312925,129867,133908,134022,253421,226726,141998,251130,301573,153819,159106,310398,2527,57269,37088,61670,80767,51299,6898,41281.14187869,41954.5,278220,3387,5758,5737,10339,397,876,1593,4671,1947,204320,20270,68835,19500,296308,914,1372,1412,12919,2850,57779,123727,28291,1486,2468,4699,14897,17783,36652,35368,35476,8700,17,22354,4155,28835,64870,21636,18599,82,90011,25719,12004,2133,1948,63428,112228.04418392,132825,111905,47828,15918,4449,37974,75980,87545,30056,48584,29896,54662,45309,4931,15174,108324,13569,33987,86654,17079,12064,5746,36619,9636,10355,10060,4526,2035,5401,18416,45450,36329,20519,20080,44381,36979,16231,137,63,19978,1563,1260,12996,25433,6283,5930,3387,4348,1716,6354,6094,8696,14033,17966,5761,E08000027,18193.88,74,24.103,67,0.1095,57,0.2708,57,30994.05,58
Ealing,338449,124082,127187,128248,269572,252764,164820,265985,322845,169175,169274,334725,3724,63142,58550,87446,72699,31571,4656,34096.88259853,32644.5,113463,52355,15066,48240,14711,1786,4132,31570,36860,20266,148055,116237,50848,23309,175221,7665,12041,28283,115239,23253,89942,106450,21286,2972,11030,6509,15160,12636,35329,19638,34183,9628,575,34357,4166,6964,29118,33563,58442,161,65594,22472,34182,1834,9855,47779,76166.7302776,166385,116712,38421,12817,4114,28773,44366,58734,25887,99836,43847,54846,25389,7548,79313,59933,18026,25882,100465,31153,13158,9957,20905,18771,14552,9134,8787,3013,5100,31563,56876,30389,27827,14871,29425,24306,26585,70,276,7753,357,667,13053,23686,12046,11110,13812,6724,2921,14572,11178,6238,14891,16071,9395,E09000009,18991.69,62,22.71,74,0.0204,107,0.163,84,28827.66,100
East Riding of Yorkshire,334179,143032,149854,149958,278333,245594,158757,271218,324485,163388,170791,326951,7228,55421,30852,60345,99476,62436,9019,49087.78421813,51608,322217,5572,2301,1081,396,69,660,755,598,530,227343,3992,78296,24548,321312,772,2840,3065,6190,1250,49682,146603,30669,1971,2492,4669,16235,18897,39276,48512,35560,7702,35,19649,6926,51268,54026,29791,14435,438,108139,13028,19648,2217,877,63965,116746.73206158,151003,116859,48307,13877,4133,37368,65035,95390,33672,72004,25200,62802,55030,9911,7430,117033,24383,37856,90761,24834,8795,6614,47790,9149,7849,7720,4226,1082,3392,25617,60547,36863,30525,22750,41420,33387,11707,4582,500,17707,1448,912,13219,25124,7417,8252,3464,3113,1781,7920,5579,12241,16998,21525,6975,E06000011,12095.08,124,15.605,122,0.0619,75,0.0891,109,29289.45,88
East Sussex,526671,231905,243262,244060,435515,374518,239319,425276,510441,253764,272907,515598,11073,89281,52297,90763,147503,99897,19866,78578.49917817,81787,486735,18687,7473,2253,317,1042,1931,3600,2912,1721,315659,12652,155723,42637,483824,3336,8954,5838,24719,2332,90651,203963,47509,4192,4643,9388,32486,32444,75991,67775,54524,14343,351,33264,12155,78428,59238,44070,60914,1410,162052,25600,41180,3073,2690,107145,195858.12288996,230697,187695,77795,23598,6886,59409,98345,149926,52355,114286,50674,100340,80891,18796,28415,158703,33405,55152,125533,50244,13503,10520,66736,14879,15665,15388,6898,1623,5479,41446,99430,62419,56897,29128,62832,39107,19474,2406,140,14527,834,1711,22595,38327,9916,13331,7014,10287,3737,14814,10822,13206,24754,37220,13678,E10000011,15657.97,93,19.77,91,0.0669,73,0.1445,92,30258.89,71
