"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01006755",443,66.65,0.42,0.31,86.66,2.37,0.73,15.78,21.41,0.5,0.53
"E01006756",1334,56.07,0.39,0.3,61.01,1.68,0.52,17.35,19.73,0.43,0.45
"E01006757",1384,55.68,0.41,0.29,55.48,1.82,0.35,15.73,17.83,0.48,0.51
"E01006758",1029,58.88,0.4,0.29,67.9,1.73,0.44,15.38,32.36,0.49,0.42
"E01006759",2333,49.35,0.25,0.24,27.41,1.25,2.6,12.95,63.49,0.22,0.38
"E01006760",28,80.37,0.45,0.45,47.87,3.29,2.26,15.26,74.27,0.57,0.45
"E01006761",757,62.01,0.34,0.32,41.56,1.98,1.68,12.19,53.75,0.37,0.34
"E01006762",1758,52.81,0.34,0.25,55.33,1.92,0.81,12.47,38.75,0.44,0.35
"E01006763",3291,44.55,0.31,0.22,35.78,1.48,0.71,7.82,50.82,0.35,0.34
"E01006764",874,60.68,0.38,0.29,33.38,1.83,1.74,11.15,52.45,0.4,0.34
"E01006765",2709,47.43,0.27,0.23,27.85,1.59,1.49,6.66,57.12,0.31,0.3
"E01006766",165,72.96,0.43,0.34,59.36,2.11,1.69,12.04,59.04,0.53,0.35
"E01006767",959,59.57,0.38,0.29,33.95,1.88,1.75,12.11,46.19,0.54,0.4
"E01006768",1621,53.86,0.3,0.3,22.86,1.62,1.59,13.06,53.27,0.41,0.19
"E01006769",1368,55.85,0.4,0.33,49.98,1.99,-0.25,10.78,19.06,0.43,0.49
"E01006770",2430,48.94,0.38,0.28,50.04,1.45,-0.1,15.6,20.43,0.45,0.46
"E01006771",552,64.78,0.4,0.34,65.18,1.95,0.47,33.03,24.18,0.39,0.53
"E01006772",5735,36.08,0.23,0.23,39.75,1.28,0.02,15.39,18.8,0.19,0.33
"E01006773",17626,16.01,0.11,0.12,10.54,0.52,-0.7,4.83,23.65,0.11,0.19
"E01006774",22156,11.7,0.11,0.09,7.71,0.16,-0.73,8.36,13.45,0.14,0.2
"E01006775",701,62.81,0.4,0.34,77.2,2.32,-0.36,18.86,13,0.45,0.52
"E01006776",2930,46.2,0.32,0.27,44.38,1.75,0.3,17.28,13.76,0.37,0.41
"E01006778",214,71.53,0.44,0.37,68.41,2.38,1.14,16.7,33.26,0.55,0.53
"E01006779",198,72.02,0.48,0.38,76.98,2.83,0.72,19.81,14.11,0.55,0.53
"E01006780",7816,30.87,0.16,0.15,29.03,1.03,0.73,7.63,48.79,0.22,0.17
"E01006781",13650,20.77,0.1,0.14,16.36,0.81,0.4,5.11,26.93,0.08,0.13
"E01006782",5158,37.94,0.21,0.19,27.37,1.13,0.85,7.21,62.86,0.22,0.22
"E01006783",5559,36.65,0.23,0.19,24.81,1.32,0.52,5.66,55.65,0.24,0.33
"E01006784",8074,30.35,0.17,0.15,12.8,1.08,0.35,3.54,64.75,0.13,0.32
"E01006785",4334,40.63,0.25,0.21,23.12,1.21,0.68,16.46,65.32,0.38,0.26
"E01006786",8352,29.75,0.14,0.17,20.38,1.11,1.01,5.46,36.96,0.15,0.15
"E01006787",1624,53.82,0.27,0.29,46.88,1.91,0.81,22.05,55.41,0.33,0.31
"E01006788",7461,31.64,0.22,0.17,22.13,1.02,0.17,10.22,48.32,0.34,0.19
"E01006790",408,67.27,0.43,0.35,38.97,2.3,1.51,13.67,40.42,0.54,0.49
"E01006791",798,61.45,0.41,0.36,46.33,2.03,0.69,11.24,29.63,0.48,0.46
