"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01006659",832,61.1,0.36,0.34,44.52,2.7,0.8,27.24,23.21,0.4,0.43
"E01006660",3522,43.6,0.27,0.24,31.36,1.71,0.96,13.65,30.55,0.23,0.42
"E01006661",1481,54.87,0.39,0.31,55.43,1.87,-0.11,10.15,20.77,0.44,0.48
"E01006662",689,62.94,0.42,0.32,39.46,2.78,1.12,16.02,23.62,0.41,0.59
"E01006663",4015,41.65,0.29,0.23,35.89,1.78,0.36,20,16.47,0.32,0.47
"E01006664",884,60.55,0.41,0.33,47.28,1.79,0.67,17.41,38.18,0.47,0.38
"E01006665",15404,18.58,0.09,0.12,14.76,0.52,-0.57,32.11,12.04,0.11,0.14
"E01006666",20241,13.43,0.07,0.09,8.8,0.51,-1.39,29.52,8.76,0.05,0.16
"E01006667",6500,34.07,0.24,0.22,27.76,1.19,0.22,19.76,15.44,0.29,0.27
"E01006668",20243,13.43,0.09,0.09,10.62,0.64,-1.87,17.46,10.57,0.1,0.21
"E01006669",14869,19.2,0.14,0.12,16.52,0.63,-0.18,19.66,12.57,0.17,0.23
"E01006670",14103,20.16,0.15,0.13,12.63,1.01,-0.26,12.72,10.23,0.16,0.2
"E01006671",8831,28.69,0.22,0.16,26.82,1.09,0.36,17.36,8.12,0.24,0.35
"E01006672",1571,54.23,0.39,0.27,52.21,1.71,0.73,21.41,19.1,0.49,0.47
"E01006673",695,62.86,0.43,0.29,48.87,2.07,1.18,23.3,29.23,0.49,0.74
"E01006674",199,72,0.51,0.37,48.91,2.16,1.07,31.35,29.58,0.53,0.7
"E01006675",1059,58.57,0.34,0.29,20.85,2.55,1.2,19.12,62.34,0.54,0.49
"E01006676",330,68.8,0.5,0.36,57.19,2.2,0.78,17.44,31.16,0.5,0.58
"E01006677",143,74.01,0.52,0.39,72.57,2.45,0.98,17.88,25.51,0.51,0.67
"E01006678",935,59.92,0.41,0.34,40.6,2.22,0.71,14.95,19.8,0.44,0.55
"E01006679",210,71.65,0.52,0.38,60.01,2.17,0.79,29.24,23.56,0.5,0.71
"E01006680",24098,10.09,0.07,0.09,6.77,-0.02,-0.61,4.5,23.31,0.05,0.11
"E01006681",10676,25.35,0.17,0.18,14.06,1.07,-0.4,8.4,25.09,0.18,0.19
"E01006682",29037,6.13,0.03,0.06,2.92,0.01,-1.29,3.16,22.06,0.02,0.08
"E01006683",24971,9.39,0.06,0.08,4.27,0.16,-0.87,4.7,22.56,0.04,0.1
"E01006684",23751,10.37,0.06,0.07,3.77,0.15,-0.43,16.78,25.69,0.06,0.09
